Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
95,1.70E+06,8478.5,9.0273,22,34.5,1.25E+06,1.78E+05,0.29851,1.393,1.06E+06,5252.6,6.3934,22,28.5,8.37E+05,4.70E+05,0.29851,0.49751,3.19E+06,15867,6.2159,26,52,1.98E+06,1.10E+06,0.199,0.49751,3
96,2.42E+06,12052,10.639,22,32,1.47E+06,3.05E+05,0.39801,0.79602,1.06E+06,5256.9,8.8345,21.5,26.5,6.50E+05,1.20E+05,0.39801,0.79602,2.99E+06,14861,8.9233,27,36,1.35E+06,64295,0.39801,1.194,3
97,8.50E+05,4231,6.2599,22,10.333,94889,49397,1.393,2.4876,6.97E+05,3467.2,6.9884,22,31,66942,28757,1.393,2.4876,1.11E+06,5540.1,8.1456,27,34,51957,48787,1.393,2.3881,3
98,2.06E+05,1025.2,8.7476,12,19.333,1.05E+05,66177,0.29851,0.59701,1.30E+06,6460.6,9.1956,20.25,23.5,6.24E+05,4.48E+05,0.29851,0.59701,9.76E+05,4857.8,8.7702,20,20.25,5.76E+05,2.83E+05,0.29851,0.59701,3
99,2.89E+05,1438.6,8.0944,21,22.5,2.51E+05,1.75E+05,0.199,0.39801,1.47E+06,7333.3,8.6422,21,33.5,1.26E+06,8.61E+05,0.199,0.39801,1.44E+06,7176.3,6.6838,21.5,37,1.24E+06,8.84E+05,0.199,0.39801,3
100,8.41E+05,4185.1,9.085,16.333,21.333,6.36E+05,4.72E+05,0.199,0.49751,1.31E+06,6510.2,8.0152,16.667,25.667,9.73E+05,6.23E+05,0.199,0.49751,1.28E+06,6352.4,7.634,16.667,27.667,7.68E+05,5.91E+05,0.199,0.49751,3
101,3.15E+05,1566.9,8.5831,20.667,22,2.33E+05,1.04E+05,0.29851,0.49751,1.19E+06,5941.5,7.1777,22,30.667,8.35E+05,3.68E+05,0.29851,0.49751,1.32E+06,6550.8,7.123,21,19.6,9.35E+05,3.82E+05,0.29851,0.59701,3
102,56018,278.7,7.9024,20,20,9356.2,4439.4,1.393,2.3881,1.31E+05,653.77,8.6345,21,25,17876,10579,1.393,2.3881,1.73E+05,858.98,5.9709,26,25,2785.4,7181,1.194,1.592,3
103,1.93E+05,962.52,8.8072,21,27,25140,17324,1.393,2.4876,4.25E+05,2113.3,7.8139,22,33,60382,32262,1.393,2.3881,4.55E+05,2262.3,7.1345,22,37,54607,10072,1.393,2.2886,3
104,3.41E+05,1695.6,7.6274,21.5,24,2.33E+05,73037,0.39801,0.69652,1.34E+06,6679.5,7.3601,23,29,8.81E+05,2.12E+05,0.39801,0.79602,1.24E+06,6144.3,6.1725,24,24,1.18E+05,71512,1.393,2.4876,3
105,1.04E+05,518.1,8.9866,22,24,9255.9,5807.2,1.393,2.4876,4.08E+05,2031.2,8.7957,25,33,30773,16769,1.393,2.5871,7.28E+05,3623.6,8.9883,21,38,69829,41031,1.393,2.3881,3
106,3.01E+05,1499.4,9.25,21,31,49529,24600,1.393,2.4876,9.61E+05,4779.8,8.295,12,23.5,98391,71418,1.393,2.3881,7.70E+05,3833.3,7.0947,23,14,81225,22260,1.393,2.2886,3
107,3.68E+05,1828.8,10.073,20,32,43784,28719,1.4925,2.4876,1.08E+06,5377.1,9.3646,24,40,1.28E+05,31368,1.393,2.3881,8.92E+05,4435.7,6.3558,24,18.5,88256,23516,1.4925,2.3881,3
108,71535,355.9,10.315,20,21,10873,5578.9,1.393,2.4876,5.21E+05,2594.4,8.7528,23,25,55621,13684,1.393,2.3881,4.52E+05,2247.2,12.06,20,25,74514,33786,1.393,2.4876,3
109,1.19E+05,592.02,8.0402,21,21,10062,6451,1.2935,2.5871,4.24E+05,2109,7.7036,23,14.5,33854,10400,1.2935,2.5871,3.68E+05,1831.1,8.2217,22,34,46872,18278,1.393,2.3881,3
110,2.76E+05,1371.9,7.9745,20,25,36235,15298,1.393,2.4876,2.47E+05,1226.6,7.3913,22,35,34271,11995,1.393,2.4876,7.99E+05,3973.2,6.0586,22,35,65416,46352,1.393,2.4876,3
111,2.02E+05,1004.1,6.8274,20.5,28.5,1.27E+05,43945,0.29851,0.49751,1.69E+06,8429.8,6.0684,33,32.5,1.11E+06,6.78E+05,0.199,0.49751,1.20E+06,5969.2,6.3721,16.333,30,58186,69258,1.2935,1.592,3
112,4.96E+05,2467.4,10.022,16,20,83381,52416,1.2935,2.3881,7.76E+05,3861.7,8.5251,16,19.333,3.63E+05,73443,0.49751,1.194,2.08E+05,1033.3,9.7565,15.333,19,52008,78833,0.29851,0.49751,3
113,8997.6,44.764,5.3379,0,0,277.29,106.86,1.2935,1.791,3194.1,15.891,7.1679,0,0,45.443,18.375,1.194,1.4925,34788,173.08,6.7558,8,5,2804.3,362.9,1.393,2.1891,4
114,4092.5,20.361,7.1008,0,0,375.87,341.81,0.39801,0.69652,2014.5,10.023,10.463,0,0,130.61,48.853,0.69652,1.194,13109,65.22,8.4073,0,0,803.98,409.49,0.69652,1.194,4
115,14281,71.052,10.31,0,0,1435.7,781.79,1.4925,2.2886,3704.1,18.429,11.111,0,0,134.61,195.12,1.194,1.4925,20071,99.858,7.1698,0,0,1655.9,514.4,1.393,2.4876,4
116,20098,99.989,9.297,0,0,14646,1684.7,0.29851,1.194,5724.4,28.479,8.109,0,0,3441.7,443.84,0.29851,1.194,36423,181.21,7.6526,18,17,4180.6,4178.4,1.2935,1.4925,4
117,13411,66.72,6.9016,0,0,1380.8,751.46,1.4925,2.3881,5341,26.572,11.326,0,0,3694.2,195.39,0.199,1.2935,8474.2,42.16,8.0938,0,0,229.95,212.88,1.194,1.6915,4
118,46470,231.2,10.453,20,18,34725,20797,0.199,0.49751,7653.5,38.077,7.6725,0,0,4533.7,2942.5,0.199,0.49751,51088,254.17,8.8205,0,0,9347.9,7194.7,0.49751,0.69652,4
119,6.86E+05,3415.1,8.3043,20,28,1.01E+05,59878,1.393,2.4876,38550,191.79,7.4241,19,14,3625.8,2840.7,1.393,2.4876,6.60E+05,3283.5,6.445,21,41,93526,48405,1.393,2.4876,4
